t,N,E,D,vN,vE,vD,roll,pitch,yaw,tilt,p,q,rr,aN,aE,aD,wr,wp,wy,thr
0.0005781650543212891,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,-2.0851798636323298,-0.00016273977812772134,0.0,0.00046069352296570034,0.1338469541412253,-0.0,0.2379553255233392
0.006253480911254883,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,-2.0851798636323298,-0.00016273977812772134,0.0,0.00046069352296570034,0.1338469541412253,-0.0,0.2379553255233392
0.012032032012939453,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,-2.0851798636323298,-0.00016273977812772134,0.0,0.00046069352296570034,0.1338469541412253,-0.0,0.2379553255233392
0.018033504486083984,0.0,0.0,3.906339406967163e-05,-0.0003692356403917074,-0.0002007667935686186,0.0060432241298258305,0.01759914568395115,17.80035340571584,0.005265158455040631,17.80036168077742,0.0037163274828344584,-0.01007136795669794,0.00017281481996178627,-2.0851798694625114,4.6586260911626645e-05,-0.0181999864988029,0.0003577573592596758,0.13434944638993285,1.4350706870849756e-05,0.23826382942017396
0.0236203670501709,0.0,0.0,3.906339406967163e-05,-0.0003692356403917074,-0.0002007667935686186,0.0060432241298258305,0.01759914568395115,17.80035340571584,0.005265158455040631,17.80036168077742,0.0037163274828344584,-0.01007136795669794,0.00017281481996178627,-2.0851798694625114,4.6586260911626645e-05,-0.0181999864988029,0.0003577573592596758,0.13434944638993285,1.4350706870849756e-05,0.23826382942017396
0.02883148193359375,0.0,0.0,4.882924258708954e-05,-0.0009065719787031412,3.6837747757090256e-05,0.0007112715393304825,0.016916124565580004,17.800287827381226,0.005417745377085253,17.80029708468312,0.0009371214546263218,-0.016899477690458298,-0.00041897891787812114,-2.085179860272341,-0.00020123766105546137,-0.0022217072546482086,0.0003728084389145089,0.13391127932464117,1.711044177776961e-05,0.2379930973186805
0.034483909606933594,0.0,0.0,4.882924258708954e-05,-0.0009065719787031412,3.6837747757090256e-05,0.0007112715393304825,0.016916124565580004,17.800287827381226,0.005417745377085253,17.80029708468312,0.0009371214546263218,-0.016899477690458298,-0.00041897891787812114,-2.085179860272341,-0.00020123766105546137,-0.0022217072546482086,0.0003728084389145089,0.13391127932464117,1.711044177776961e-05,0.2379930973186805
0.040474891662597656,0.0,0.0,4.882924258708954e-05,-0.0009065719787031412,3.6837747757090256e-05,0.0007112715393304825,0.016916124565580004,17.800287827381226,0.005417745377085253,17.80029708468312,0.0009371214546263218,-0.016899477690458298,-0.00041897891787812114,-2.085179860272341,-0.00020123766105546137,-0.0022217072546482086,0.0003728084389145089,0.13391127932464117,1.711044177776961e-05,0.2379930973186805
0.04684162139892578,0.0,9.765624781721272e-06,5.371123552322388e-05,-0.00039598537841811776,-0.0003777158271986991,0.0006926382193341851,0.012141824101633072,17.798947492844757,0.004013937607588207,17.798952380636177,0.005929713603109121,-0.006979886908084154,0.00010726670734584332,-2.0851798571755737,0.0002311086987140267,-0.0021745948819443584,0.00022032145937079742,0.13387906700273108,-8.279265624028168e-06,0.23799104677592026
0.05193591117858887,0.0,9.765624781721272e-06,5.371123552322388e-05,-0.00039598537841811776,-0.0003777158271986991,0.0006926382193341851,0.012141824101633072,17.798947492844757,0.004013937607588207,17.798952380636177,0.005929713603109121,-0.006979886908084154,0.00010726670734584332,-2.0851798571755737,0.0002311086987140267,-0.0021745948819443584,0.00022032145937079742,0.13387906700273108,-8.279265624028168e-06,0.23799104677592026
0.05666208267211914,-3.906249185092747e-05,9.765624781721272e-06,6.836093962192535e-05,0.006968767382204533,-0.00013906272943131626,7.351557724177837e-05,0.006336163786440889,17.795837178314887,0.0029458227201459527,17.795838617462024,0.0005789953283965588,-0.0035989461466670036,0.0009096575668081641,-2.085179869907856,-1.7692727890921842e-05,-0.00034359642304480074,0.00012831768337952641,0.13375719803403718,-2.7597526323840112e-05,0.2379571307206721
0.062027931213378906,-3.906249185092747e-05,9.765624781721272e-06,6.836093962192535e-05,0.006968767382204533,-0.00013906272943131626,7.351557724177837e-05,0.006336163786440889,17.795837178314887,0.0029458227201459527,17.795838617462024,0.0005789953283965588,-0.0035989461466670036,0.0009096575668081641,-2.085179869907856,-1.7692727890921842e-05,-0.00034359642304480074,0.00012831768337952641,0.13375719803403718,-2.7597526323840112e-05,0.2379571307206721
