t,N,E,D,vN,vE,vD,roll,pitch,yaw,tilt,p,q,rr,aN,aE,aD,wr,wp,wy,thr
0.0009317398071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,2.0851798636323298,0.00016273977812772134,0.0,0.0004457739608224153,0.6802485805519087,-0.0,0.2379553255233392
0.006355762481689453,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,2.0851798636323298,0.00016273977812772134,0.0,0.0004457739608224153,0.6802485805519087,-0.0,0.2379553255233392
0.012094259262084961,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,2.0851798636323298,0.00016273977812772134,0.0,0.0004457739608224153,0.6802485805519087,-0.0,0.2379553255233392
0.01709294319152832,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,2.0851798636323298,0.00016273977812772134,0.0,0.0004457739608224153,0.6802485805519087,-0.0,0.2379553255233392
0.0231626033782959,0.0,0.0,0.0,0.0,0.0,0.0,0.020932277851885825,17.800139411293458,0.004471701741085878,17.80015092956274,0.0,0.0,-0.0,2.0851798636323298,0.00016273977812772134,0.0,0.0004457739608224153,0.6802485805519087,-0.0,0.2379553255233392
0.028761625289916992,0.0,0.0,5.371123552322388e-05,0.00017491912876721472,-0.00021544870105572045,0.001738451886922121,0.014757784444518482,17.798886513124856,0.004654805729525193,17.798893678713977,0.001529346569441259,-0.005843780003488064,0.0022556008771061897,2.085179833996227,0.00038739830153669086,-0.005312035884708166,0.00028628091677403096,0.6800799493105061,3.31167613677331e-06,0.238044139893799
0.0348668098449707,0.0,0.0,5.371123552322388e-05,0.00017491912876721472,-0.00021544870105572045,0.001738451886922121,0.014757784444518482,17.798886513124856,0.004654805729525193,17.798893678713977,0.001529346569441259,-0.005843780003488064,0.0022556008771061897,2.085179833996227,0.00038739830153669086,-0.005312035884708166,0.00028628091677403096,0.6800799493105061,3.31167613677331e-06,0.238044139893799
0.04093027114868164,0.0,0.0,5.371123552322388e-05,0.00017491912876721472,-0.00021544870105572045,0.001738451886922121,0.014757784444518482,17.798886513124856,0.004654805729525193,17.798893678713977,0.001529346569441259,-0.005843780003488064,0.0022556008771061897,2.085179833996227,0.00038739830153669086,-0.005312035884708166,0.00028628091677403096,0.6800799493105061,3.31167613677331e-06,0.238044139893799
0.04654717445373535,-3.906249185092747e-05,1.9531249563442543e-05,-0.00020996108651161194,-0.003098931862041354,-0.0003840021090582013,-0.029124790802598,0.014778300283834775,17.62682921118547,0.00840847549490837,17.626836781444936,0.001058843219652772,-0.3262283504009247,-0.0032854191958904266,2.0851797941867356,0.000562225344274559,0.0877523023635149,0.0002815328288554392,0.6787273769330602,7.120172425956713e-05,0.2363097601796986
0.051465749740600586,-3.906249185092747e-05,1.9531249563442543e-05,-0.00020996108651161194,-0.003098931862041354,-0.0003840021090582013,-0.029124790802598,0.014778300283834775,17.62682921118547,0.00840847549490837,17.626836781444936,0.001058843219652772,-0.3262283504009247,-0.0032854191958904266,2.0851797941867356,0.000562225344274559,0.0877523023635149,0.0002815328288554392,0.6787273769330602,7.120172425956713e-05,0.2363097601796986
0.05688786506652832,-0.00023437500931322575,2.9296874345163815e-05,-0.001132812350988388,-0.006315292790532112,-0.0009093882981687784,-0.08110957592725754,0.01967562801675907,17.030274638465002,0.008439017683167228,17.030285428192457,-0.0020300298929214478,-0.9059117436408997,-0.0015717411879450083,2.0851795759433425,0.001107362053726198,0.24536779001355172,0.00031391791761840003,0.6697285673196725,7.175411985112717e-05,0.2331173389517596
0.0630197525024414,-0.00023437500931322575,2.9296874345163815e-05,-0.001132812350988388,-0.006315292790532112,-0.0009093882981687784,-0.08110957592725754,0.01967562801675907,17.030274638465002,0.008439017683167228,17.030285428192457,-0.0020300298929214478,-0.9059117436408997,-0.0015717411879450083,2.0851795759433425,0.001107362053726198,0.24536779001355172,0.00031391791761840003,0.6697285673196725,7.175411985112717e-05,0.2331173389517596
0.06837940216064453,-0.0005859374650754035,0.00012695312034338713,-0.002744140103459358,-0.005296511575579643,-0.012494483031332493,-0.12854766845703125,0.02143111876750634,15.992975627452626,-0.00013651041451690374,15.992991641354465,-0.004194646142423153,-1.4572476148605347,0.0009127629455178976,2.085138378028363,0.01315426376588806,0.3905824575573206,-0.0013053294342333672,0.6506398526230371,-8.334556968449941e-05,0.22981727655550355
0.07446169853210449,-0.0005859374650754035,0.00012695312034338713,-0.002744140103459358,-0.005296511575579643,-0.012494483031332493,-0.12854766845703125,0.02143111876750634,15.992975627452626,-0.00013651041451690374,15.992991641354465,-0.004194646142423153,-1.4572476148605347,0.0009127629455178976,2.085138378028363,0.01315426376588806,0.3905824575573206,-0.0013053294342333672,0.6506398526230371,-8.334556968449941e-05,0.22981727655550355
0.08079886436462402,-0.0005859374650754035,0.00012695312034338713,-0.002744140103459358,-0.005296511575579643,-0.012494483031332493,-0.12854766845703125,0.02143111876750634,15.992975627452626,-0.00013651041451690374,15.992991641354465,-0.004194646142423153,-1.4572476148605347,0.0009127629455178976,2.085138378028363,0.01315426376588806,0.3905824575573206,-0.0013053294342333672,0.6506398526230371,-8.334556968449941e-05,0.22981727655550355
0.08592438697814941,-0.001093749946448952,0.0002734374938881956,-0.004794921725988388,-0.0023238621652126312,-0.010088075883686543,-0.15694600343704224,0.019525677913424293,14.64248410187611,0.0035868084327808827,14.642497351399001,0.0006136383162811399,-1.781383991241455,0.00284595787525177,2.0851525808510725,0.010667931012527103,0.4794688694179058,-0.0010075268376716308,0.6229607011161031,-1.6004457781156194e-05,0.22731840542321252
0.09147953987121582,-0.001093749946448952,0.0002734374938881956,-0.004794921725988388,-0.0023238621652126312,-0.010088075883686543,-0.15694600343704224,0.019525677913424293,14.64248410187611,0.0035868084327808827,14.642497351399001,0.0006136383162811399,-1.781383991241455,0.00284595787525177,2.0851525808510725,0.010667931012527103,0.4794688694179058,-0.0010075268376716308,0.6229607011161031,-1.6004457781156194e-05,0.22731840542321252
0.09768891334533691,-0.0016796873533166945,0.00045898435200797394,-0.0070654284209012985,0.008884340524673462,-0.01441245712339878,-0.16805964708328247,0.03023560320232494,13.215851885178106,0.00538739103975706,13.21588503635892,0.018180152401328087,-1.8563116788864136,-0.020187577232718468,2.0851240569383984,0.015256387473151905,0.5168967124074697,-0.0013967706551568605,0.592004706512975,1.6561443717170804e-05,0.22574067284272467
0.10343456268310547,-0.0016796873533166945,0.00045898435200797394,-0.0070654284209012985,0.008884340524673462,-0.01441245712339878,-0.16805964708328247,0.03023560320232494,13.215851885178106,0.00538739103975706,13.21588503635892,0.018180152401328087,-1.8563116788864136,-0.020187577232718468,2.0851240569383984,0.015256387473151905,0.5168967124074697,-0.0013967706551568605,0.592004706512975,1.6561443717170804e-05,0.22574067284272467
0.10991764068603516,-0.0024218748440034688,0.0007031250061118044,-0.009277342818677425,0.025900568813085556,-0.018830832093954086,-0.16494689881801605,0.045501252718320825,11.782773490251511,0.008866432616398644,11.782861358823933,0.0025518881157040596,-1.799545168876648,-0.017786718904972076,2.085083430566234,0.02005437010033478,0.5115399135276675,-0.0016992393890595636,0.5595490429721102,7.948448032446198e-05,0.22497757907402732
